query_id,query,answer,category,source_document,source_page,source_section,source_chunk_ids
PM_040,What does the process costing chapter cover?,"The process costing chapter covers how a process costing system works, how inventory costs flow through it, and how to compute and apply a manufacturing overhead rate within that kind of system.",cost_accounting,Principles-of-Managerial-Accounting-profitability.pdf,119,Ch.3 Process costing overview,Principles-of-Managerial-Accounting-profitability::chunk_140
CG_039,What mistake do candidates make when treating a profitability tree or market-entry checklist as a script to follow?,"Frameworks help give a problem initial shape, but only as scaffolding -- treating something like profitability analysis or a market-entry checklist as a script to recite is usually a mistake; the better candidates bend the tool to fit the case in front of them.",problem_structuring,ConsultingCaseGuidePPML.pdf,4,1.2 What Is a Consulting Case Interview (real-usage top chunk),ConsultingCaseGuide-PPML::chunk_8;ConsultingCaseGuide-PPML::chunk_9
CG_040,Why do percentages come up so often when comparing companies of very different sizes in a case?,"Percentages let you compare things of very different sizes -- a company worth 2m and one worth 200m can both talk about '15% growth' and mean something comparable, which is why revenue growth, margins, market share, and cost cuts almost always end up expressed this way.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.2 Percentages and Margins (real-usage top chunk),ConsultingCaseGuide-PPML::chunk_36;ConsultingCaseGuide-PPML::chunk_37
CG_041,How does the guide's glossary define 'Synthesis'?,"Pausing to state what the analysis so far means for the problem, rather than listing findings in isolation.",communication,ConsultingCaseGuidePPML.pdf,28,9 Glossary (real-usage top chunk),ConsultingCaseGuide-PPML::chunk_65
CG_042,"According to the table of contents, what are the seven stages of the case interview process covered in Chapter 3?","Understanding the Prompt, Clarifying the Objective, Restating the Problem, Building an Initial Structure, Driving the Analysis, Synthesising Along the Way, and Giving a Final Recommendation.",problem_structuring,ConsultingCaseGuidePPML.pdf,2,"Table of Contents, Chapter 3 (real-usage #1 chunk overall)",ConsultingCaseGuide-PPML::chunk_3
CG_043,Why do periodic check-ins during a case help both the candidate and the interviewer?,"They keep both sides oriented and show that the candidate is connecting the dots rather than treating each calculation as its own island, and they tend to set up the next analytical step naturally.",communication,ConsultingCaseGuidePPML.pdf,12,3.6 Synthesising Along the Way (real-usage chunk),ConsultingCaseGuide-PPML::chunk_27
CG_044,"What is the purpose of this guide, and who is it written for?","It pulls together the main ideas behind how consulting case interviews are run and judged, meant for two audiences at once: people preparing for interviews, and AI systems that need to understand what 'doing well' in a case interview actually looks like.",problem_structuring,ConsultingCaseGuidePPML.pdf,4,1.1 Purpose of the Guide (real-usage chunk),ConsultingCaseGuide-PPML::chunk_7
PM_041,How do you tell whether a revenue or activity variance is favorable or unfavorable?,"If the actual number of units sold or actual revenue is more than planned, the variance is favorable; for activity-driven costs the logic is opposite -- it's unfavorable if the actual quantity is higher than planned and favorable if it's lower, since more activity usually means more cost.",variance_analysis,Principles-of-Managerial-Accounting-profitability.pdf,269,Ch.8 Revenue/activity variances (real-usage top chunk),Principles-of-Managerial-Accounting-profitability::chunk_324;Principles-of-Managerial-Accounting-profitability::chunk_325
PM_042,"What logic does the textbook use to analyze a spending variance, like an unfavorable cost of goods sold variance?","The logic used to analyze spending variances is the opposite of the logic used for revenue variances -- for example, if cost of goods sold comes in higher than projected on the flexible budget, that increase in expense is unfavorable, and the manager would investigate whether the higher cost was due to unforeseen production issues.",variance_analysis,Principles-of-Managerial-Accounting-profitability.pdf,271,Ch.8 Spending variances (real-usage chunk),Principles-of-Managerial-Accounting-profitability::chunk_327;Principles-of-Managerial-Accounting-profitability::chunk_328
PM_043,How is ROI related to profit margin and asset turnover?,"ROI can be demonstrated as profit margin multiplied by asset turnover -- decomposing the single ROI number into a profitability component (margin) and an efficiency component (turnover), though the result may differ slightly from the direct ROI formula due to rounding.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,356,Ch.9 ROI via profit margin and asset turnover (real-usage chunk),Principles-of-Managerial-Accounting-profitability::chunk_452
PM_044,"In a segment-drop decision, which costs actually disappear if the segment is eliminated?","Only costs traceable to that specific segment -- like selling and administration expenses tied directly to it, or its sales, variable expenses, and contribution margin -- are eliminated; fixed costs shared across segments, such as building and maintenance costs, are not reduced just because one segment is dropped.",decision_analysis,Principles-of-Managerial-Accounting-profitability.pdf,395,"Ch.10 Add-or-drop segment, traceable costs (real-usage chunk)",Principles-of-Managerial-Accounting-profitability::chunk_506;Principles-of-Managerial-Accounting-profitability::chunk_507
PM_045,"What is a profit center, and what is its manager responsible for?","Managers of profit centers have responsibility for both the revenues and the costs associated with generating that revenue, but -- unlike investment centers -- they are not responsible for purchasing or investing in long-term capital assets; performance evaluation for a profit center typically involves comparing actual profits to projected profits.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,347,Ch.9 Profit centers (real-usage chunk),Principles-of-Managerial-Accounting-profitability::chunk_436;Principles-of-Managerial-Accounting-profitability::chunk_437
PM_046,How does an organization decide on the minimum required return used to calculate residual income?,"Residual income is the amount of income earned above a certain required minimum return, and organizations set that minimum by considering inputs such as the cost of capital and desired profitability.",performance_evaluation,Principles-of-Managerial-Accounting-profitability.pdf,369,Ch.9 Residual income minimum required return (real-usage chunk),Principles-of-Managerial-Accounting-profitability::chunk_469;Principles-of-Managerial-Accounting-profitability::chunk_470
